workKey,title,authorNames,firstPublishYear,genreBucket,subjectsRaw,description,coverId,editionCount,ratingsAverage,ratingsCount,wantToReadCount,alreadyReadCount,openLibraryUrl
/works/OL17054790W,Percy Jackson's Greek Gods,Rick Riordan,2006,Fantasy,"Greek Gods; Young adult fiction; Percy Jackson (Fictitious character); Anthologies; Percy Jackson (Fictional character); Classics; Legends, Myths, Fables; Greek & Roman; JUVENILE FICTION / Fairy Tales & Folklore / Anthologies; Gods and goddesses; JUVENILE FICTION; JUVENILE FICTION / Legends, Myths, Fables / Greek & Roman; Fiction; JUVENILE FICTION / Classics; Fairy Tales & Folklore; children; kids; teens; Dioses griegos; Greek Mythology; Materiales en español; Ficción juvenil; Mitología griega; nyt:childrens-middle-grade=2014-09-07; New York Times bestseller; Children's fiction; Gods, fiction; Adventure stories (Children's / Teenage); Traditional stories (Children's / Teenage); Fantasy fiction","""A publisher in New York asked me to write down what I know about the Greek gods, and I was like, 'Can we do this anonymously?' Because I don't need the Olympians mad at me again. But if it helps you to know your Greek gods, and survive an encounter with them if they ever show up in your face, then I guess writing all this down will be my good deed for the week.""

So begins Percy Jackson's Greek Gods, in which the son of Poseidon adds his own magic - and sarcastic asides - to the classics. He explains how the world was created, then gives listeners his personal take on a who's who of ancients, from Apollo to Zeus. Percy does not hold back: ""If you like horror shows, blood baths, lying, stealing, backstabbing, and cannibalism, then read on, because it definitely was a Golden Age for all that.""",7396660,27,4.7066665,75,1109,108,https://openlibrary.org/works/OL17054790W
/works/OL16810944W,The School for Good and Evil,Soman Chainani,2007,Fantasy,"Magic; Juvenile fiction; Fiction; Fairy Schools; Schools; Identity (Psychology) in children; Friendship; Good and evil; Fantasy; Children's fiction; Friendship, fiction; Good and evil, fiction; Fantasy fiction; Schools, fiction; School stories; Handbooks, manuals; Juvenile literature; Characters; American Fantasy fiction; Characters and characteristics; Children's stories; nyt:childrens-middle-grade=2013-06-02; New York Times bestseller","**A dark and enchanting fantasy adventure perfect for those who prefer their fairytales with a twist. The first in the bestselling School for Good and Evil series.**

Every four years, two girls are kidnapped from the village of Gavaldon. Legend has it these lost children are sent to the School for Good and Evil, the fabled institution where they become fairytale heroes or villains.

With her glass slippers and devotion to good deeds, Sophie knows she'll join the ranks of past students like Cinderella, Rapunzel, and Snow White at the School for Good. Meanwhile, Agatha, with her shapeless black dresses and wicked black cat, seems a natural fit for the villains in the School for Evil.

But the two girls soon find their fortunes reversed – Sophie's dumped in the School for Evil to take Uglification, Death Curses and Henchmen Training, while Agatha finds herself in the School for Good, thrust among handsome princes and fair maidens for classes in Princess Etiquette and Animal Communication.

But what if the mistake is actually the first clue to discovering who Sophie and Agatha really are?",7879561,17,4.6545453,55,802,78,https://openlibrary.org/works/OL16810944W
/works/OL16361049W,Keeper of the Lost Cities,Shannon Messenger,2012,Fantasy,"Ability; Fiction; Fantasy; Psychic ability; Identity; Memory; Foster parents; Elves; Children's fiction; Fairies, fiction; Fantasy fiction; Parapsychology, fiction; Identity, fiction; Juvenile fiction; nyt:series-books=2016-11-20; New York Times bestseller; Identity (Philosophical concept); Action & Adventure; Fantasy & Magic; Social Themes; Friendship; Identity (Psychology); Foster home care; Adventure and adventurers, fiction; Friendship, fiction","Twelve-year-old Sophie has never quite fit into her life. She’s skipped multiple grades and doesn’t really connect with the older kids at school, but she’s not comfortable with her family, either. The reason? Sophie’s a Telepath, someone who can read minds. No one knows her secret—at least, that’s what she thinks…

But the day Sophie meets Fitz, a mysterious (and adorable) boy, she learns she’s not alone. He’s a Telepath too, and it turns out the reason she has never felt at home is that, well…she isn’t. Fitz opens Sophie’s eyes to a shocking truth, and she is forced to leave behind her family for a new life in a place that is vastly different from what she has ever known.

But Sophie still has secrets, and they’re buried deep in her memory for good reason: The answers are dangerous and in high-demand. What is her true identity, and why was she hidden among humans? The truth could mean life or death—and time is running out.",9320507,23,4.6833334,60,736,86,https://openlibrary.org/works/OL16361049W
/works/OL492646W,The Sea of Monsters,Rick Riordan,2005,Fantasy,"Serie:Percy_Jackson_and_the_Olympians; Fiction; Fantasy; Greek Mythology; Juvenile fiction; Camps; Friendship; Camps, fiction; Adventure and adventurers; Middle school students; Monsters; Gods and goddesses; nyt:series_books=2007-07-21; New York Times bestseller; Gods, fiction; Suspense; Adaptations; American fiction; Action & Adventure; Legends, Myths, Fables; Animals, mythical, fiction; Adventure and adventurers, fiction; Greece, fiction; Amistad; Amitié; Novela juvenil; Young Adult Fiction","After a year spent trying to prevent a catastropic war among the Greek gods, Percy Jackson finds his seventh-grade school year unnervingly quiet. His biggest problem is dealing with his new friend, Tyson--a six-foot-three, mentally challenged homeless kid who follows Percy everywhere, making it hard for Percy to have any ""normal"" friends.

But things don't stay quiet for long. Percy soon discovers there is trouble at Camp Half-Blood: The magical borders which protect Half-Blood Hill have been poisoned by a mysterious enemy, and the only safe haven for demigods is on the verge of being overrun by mythological monsters. To save the camp, Percy needs the help of his best friend, Grover, who has been taken prisoner by the Cyclops Polyphemus on an island somewhere in the Sea of Monsters--the dangerous waters Greek heroes have sailed for millenia--only today, the Sea of Monsters goes by a new name...the Bermuda Triangle.

Now Percy and his friends--Grover, Annabeth, and Tyson--must retrieve the Golden Fleece from the Island of the Cyclopes by the end of the summer or Camp Half-Blood will be destroyed. But first, Percy will learn a stunning new secret about his family--one that makes him question whether being claimed as Poseidon's son is an honor or simply a cruel joke.",108909,83,4.4569893,186,1519,539,https://openlibrary.org/works/OL492646W
/works/OL492647W,The Titan's Curse,Rick Riordan,2007,Fantasy,"Serie:Percy_Jackson_and_the_Olympians; nyt:series_books=2007-07-21; New York Times bestseller; Fictitious Character; Children's Fiction; Fiction; Greek Mythology; Juvenile fiction; Titans (Mythology); Monsters; Mythical Animals; Fantasy; Investigation; Missing persons; Legends, Myths, Fables; Gods, fiction; Mythical animals in fiction; Monsters in fiction; Greek mythology in fiction; Animals, mythical, fiction; Young Adult Fiction; Animales fabulosos","When Percy Jackson gets an urgent distress call from his friend Grover, he immediately prepares for battle.  He knows he will need his powerful demigod allies at his side, his trusty bronze sword Riptide, and…a ride from his mom.

The demigods rush to the rescue to find that Grover has made an important discovery: two powerful half-bloods whose parentage is unknown.  But that’s not all that awaits them.  The titan lord Kronos has devised his most treacherous plot yet, and the young heroes have just fallen prey.

They’re not the only ones in danger.  An ancient monster has arisen—one rumored to be so powerful it could destroy Olympus—and Artemis, the only goddess who might know how to track it, is missing.  Now Percy and his friends, along with the Hunters of Artemis, have only a week to find the kidnapped goddess and solve the mystery of the monster she was hunting.  Along the way, they must face their most dangerous challenge yet: the chilling prophecy of the titan’s curse.",14601475,64,4.4675326,154,1337,461,https://openlibrary.org/works/OL492647W
/works/OL17332479W,Six of Crows,Leigh Bardugo,2015,Fantasy,"Young adult fiction; Fantasy fiction; Fiction; Young adult works; Juvenile works; Science fiction; Juvenile fiction; LGBTQ novels; YA fiction; mystery; heist; fantasy; Brigands and robbers; Thriller; Action & Adventure; Magic; Gangs; Robbers and outlaws, fiction; nyt:young-adult-e-book=2015-10-18; New York Times bestseller; Series:Six-of-Crows; General; imaginary wars and battles; Series:Grishaverse","BOOK ONE of the [Six of Crows Duology](https://openlibrary.org/works/OL19758128W/Six_of_Crows_Crooked_Kingdom)

Six of Crows is a fantasy novel written by the Israeli-American author Leigh Bardugo published by Henry Holt and Co. in 2015. The story follows a thieving crew and is primarily set in the city of Ketterdam, loosely inspired by Dutch Republic–era Amsterdam. The plot is told from third-person viewpoints of seven different characters.

The novel is followed by [Crooked Kingdom](https://openlibrary.org/works/OL17597665W) (2016) and is part of the Grishaverse. 

Followed by: [Crooked Kingdom][2]


  [2]: https://openlibrary.org/works/OL17597665W/Crooked_Kingdom",12667417,37,4.5444446,90,2183,184,https://openlibrary.org/works/OL17332479W
/works/OL15401200W,The Lost Hero,Rick Riordan,2010,Fantasy,"Serie:The_Heroes_of_Olympus; nyt:chapter_books=2010-11-06; New York Times bestseller; fantasy; adventure; kids; teens; children; Greek Mythology; Juvenile fiction; Fiction; Gaia (Greek deity); Camps; Monsters; Children's fiction; Fantasy fiction; Gods, fiction; Camps, fiction; Monsters, fiction; nyt:paperback-books=2012-04-22; Roman Mythology; Action & Adventure; Young adult fiction; Literatura estadounidense; Novela estadounidense; Siglo XIX; Mitología griega; Ficción juvenil; Monstruos; Campamentos; Hera (Greek deity)","Jason has a problem. He doesn’t remember anything before waking up on a school bus holding hands with a girl. Apparently she’s his girlfriend Piper, his best friend is a kid named Leo, and they’re all students in the Wilderness School, a boarding school for “bad kids.” What he did to end up here, Jason has no idea―except that everything seems very wrong.

Piper has a secret. Her father has been missing for three days, and her vivid nightmares reveal that he’s in terrible danger. Now her boyfriend doesn’t recognize her, and when a freak storm and strange creatures attack during a school field trip, she, Jason, and Leo are whisked away to someplace called Camp Half-Blood. What is going on?

Leo has a way with tools. His new cabin at Camp Half-Blood is filled with them. Seriously, the place beats Wilderness School hands down, with its weapons training, monsters, and fine-looking girls. What’s troubling is the curse everyone keeps talking about, and that a camper’s gone missing. Weirdest of all, his bunkmates insist they are all―including Leo―related to a god.",12848687,52,4.429412,170,1801,374,https://openlibrary.org/works/OL15401200W
/works/OL15946464W,The Throne of Fire,Rick Riordan,2011,Fantasy,"Serie:The_Kane_Chronicles; Magic; Adventure and adventurers; Egyptian Mythology; Fiction; New York Times bestseller; Juvenile fiction; Fantasy; nyt:chapter_books=2011-08-06; Quests (Expeditions); Action & Adventure; Science Fiction, Fantasy, Magic; Mythology; Fantasy & Magic; Legends, Myths, Fables; Magia; Aventuras; Ficción juvenil; Children's fiction; Adventure and adventurers, fiction; Voyages and travels, fiction; Brothers and sisters, fiction; Magic, fiction; Fantasy fiction; Children's stories, American; Mythologie égyptienne; Romans, nouvelles, etc. pour la jeunesse; Frères et sœurs; Voyages; Quête; Eschatologie égyptienne; Histoires pour enfants américaines; Romans, nouvelles; Livres en gros caractères; Large print books; Egyptian; rick riordan; egyptian magicians; Abenturak; Eleberriak; Haur eta gazteentzako liburuak; Novelas; Libros infantiles y juveniles; Egiptoko mitologia; Mitología egipcia; Senideak","Ever since the gods of Ancient Egypt were unleashed in the modern world, Carter Kane and his sister Sadie have been in trouble. As descendants of the House of Life, the Kanes have some powers at their command, but the devious gods haven't given them much time to master their skills at Brooklyn House, which has become a training ground for young magicians.

And now their most threatening enemy yet - the chaos snake Apophis - is rising. If they don't prevent him from breaking free in a few days' time, the world will come to an end. In other words, it's a typical week for the Kane family.

To have any chance of battling the Forces of Chaos, the Kanes must revive the sun god Ra. But that would be a feat more powerful than any magician has ever accomplished.

First they have to search the world for the three sections of the Book of Ra, then they have to learn how to chant its spells. Oh, and did we mention that no one knows where Ra is exactly?

Narrated in two different wisecracking voices, featuring a large cast of new and unforgettable characters, and with adventures spanning the globe, this second installment in the Kane Chronicles is nothing short of a thrill ride.",6934834,40,4.591837,49,359,106,https://openlibrary.org/works/OL15946464W
/works/OL16664287W,The Mark of Athena,Rick Riordan,2011,Fantasy,"Serie:The_Heroes_of_Olympus; Greek Gods; Camps; Action & Adventure; Greek Mythology; Juvenile fiction; Roman Mythology; Fiction; Prophecy; General; Legends, Myths, Fables; nyt:series-books=2012-10-21; New York Times bestseller; Children's fiction; Camps, fiction; Fantasy fiction; Giants, fiction; Greeks, fiction; Fantasy; Mythologie romaine; Romans, nouvelles, etc. pour la jeunesse; Mythologie grecque; Géants; Colonies de vacances; Mitología romana; Novela juvenil; Mitología griega; Gigantes; Campamentos; Materiales en español; War stories; Teenagers; American Adventure stories; Egyptian Mythology; Hera (Greek deity); Gaia (Greek deity)","Annabeth is terrified. Just when she's about to be reunited with Percy—after six months of being apart, thanks to Hera—it looks like Camp Jupiter is preparing for war. As Annabeth and her friends Jason, Piper, and Leo fly in on the Argo II, she can't blame the Roman demigods for thinking the ship is a Greek weapon. With its steaming bronze dragon figurehead, Leo's fantastical creation doesn't appear friendly. Annabeth hopes that the sight of their praetor Jason on deck will reassure the Romans that the visitors from Camp Half-Blood are coming in peace.

And that's only one of her worries. In her pocket, Annabeth carries a gift from her mother that came with an unnerving command: Follow the Mark of Athena. Avenge me. Annabeth already feels weighed down by the prophecy that will send seven demigods on a quest to find—and close—the Doors of Death. What more does Athena want from her?

Annabeth's biggest fear, though, is that Percy might have changed. What if he's now attached to Roman ways? Does he still need his old friends? As the daughter of the goddess of war and wisdom, Annabeth knows she was born to be a leader—but never again does she want to be without Seaweed Brain by her side

Narrated by four different demigods, The Mark of Athena is an unforgettable journey across land and sea to Rome, where important discoveries, surprising sacrifices, and unspeakable horrors await. Climb aboard the Argo II, if you dare. . .",12848680,40,4.459677,124,877,285,https://openlibrary.org/works/OL16664287W
/works/OL17625829W,Empire of Storms,Sarah J. Maas,2016,Fantasy,"Magic; YA; Quest; High Fantasy; Fiction; Romance; Fantasy; Royalty; Court; Assassins; JUVENILE FICTION / Love & Romance; Juvenile fiction; JUVENILE FICTION / Action & Adventure / General; Kings, queens, rulers; Love; JUVENILE FICTION / Fantasy & Magic; Queens; Children's fiction; Fantasy fiction; Kings, queens, rulers, etc., fiction; Love, fiction; collectionID:EanesChallenge; [series:Throne_of_Glass]","The long path to the throne has only just begun for Aelin Galathynius. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.

With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, and dark forces become poised to claim her world, the only chance for salvation will lie in a desperate quest that may mark the end of everything Aelin holds dear.

In this breathtaking fifth installment of the New York Times bestselling Throne of Glass series, Aelin will have to choose what -- and who -- to sacrifice if she's to keep the world of Erilea from breaking apart.",14349313,25,4.757576,33,328,55,https://openlibrary.org/works/OL17625829W
